Date : 2023-12-19 09:40:23
Directory : c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat
Total : 107 files,  25121 codes, 120 comments, 552 blanks, all 25793 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\components\men-page                                                                                                    |          2 |         81 |          0 |          7 |         88 |
| src\components\sharedComponents                                                                                            |          9 |        397 |         30 |         76 |        503 |
| src\components\sharedComponents (Files)                                                                                    |          3 |        150 |          2 |         29 |        181 |
| src\components\sharedComponents\carouselComponents                                                                         |          6 |        247 |         28 |         47 |        322 |
| src\components\specificComponents                                                                                          |          5 |        287 |         21 |         40 |        348 |
| src\data                                                                                                                   |          7 |        532 |          0 |         21 |        553 |
| src\data (Files)                                                                                                           |          2 |        301 |          0 |          7 |        308 |
| src\data\carousel-images                                                                                                   |          5 |        231 |          0 |         14 |        245 |
| src\pages                                                                                                                  |         13 |        889 |         29 |         92 |      1,010 |
| src\routes                                                                                                                 |          1 |         58 |          0 |          4 |         62 |
| src\services                                                                                                               |          5 |        105 |          5 |         32 |        142 |
| src\services (Files)                                                                                                       |          3 |         20 |          4 |         11 |         35 |
| src\services\api                                                                                                           |          2 |         85 |          1 |         21 |        107 |
| src\store                                                                                                                  |          2 |         42 |          1 |         10 |         53 |
| src\utils                                                                                                                  |          2 |         14 |          0 |          6 |         20 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                   | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\.eslintrc.cjs                                                                   | JavaScript     |         20 |          0 |          1 |         21 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\README.md                                                                       | Markdown       |          5 |          0 |          4 |          9 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\config\express.config.js                                                    | JavaScript     |         24 |          0 |          9 |         33 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\controller\product.controller.js                                            | JavaScript     |        123 |          4 |         15 |        142 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\controller\user.controller.js                                               | JavaScript     |         74 |          0 |          4 |         78 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\env.clone.js                                                                | JavaScript     |          4 |          3 |          1 |          8 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\helper\helper.js                                                            | JavaScript     |         14 |          0 |          2 |         16 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\index.js                                                                    | JavaScript     |         10 |          0 |          2 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\jobs\imageUploaderJob.js                                                    | JavaScript     |         20 |          0 |          2 |         22 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\package-lock.json                                                           | JSON           |      2,232 |          0 |          1 |      2,233 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\package.json                                                                | JSON           |         31 |          0 |          1 |         32 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231209215857_new\migration.sql                          | SQL            |         50 |          9 |         15 |         74 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231210004053_new\migration.sql                          | SQL            |          3 |         10 |          3 |         16 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231210045113_post_upgrated\migration.sql                | SQL            |          1 |          1 |          1 |          3 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231211105725_user_model\migration.sql                   | SQL            |         17 |          1 |          2 |         20 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231211122212_image\migration.sql                        | SQL            |          1 |          1 |          1 |          3 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\service\image.service.js                                                    | JavaScript     |         34 |          2 |          5 |         41 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\service\product.service.js                                                  | JavaScript     |         96 |          0 |          7 |        103 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\service\user.service.js                                                     | JavaScript     |         29 |          0 |          3 |         32 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\index.html                                                                      | HTML           |         17 |          0 |          1 |         18 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\package-lock.json                                                               | JSON           |     18,409 |          0 |          1 |     18,410 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\package.json                                                                    | JSON           |         40 |          0 |          1 |         41 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\postcss.config.js                                                               | JavaScript     |          6 |          0 |          1 |          7 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\public\vite.svg                                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-components\TheAdminNavConfig.jsx                                | JavaScript JSX |         42 |          0 |          2 |         44 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-components\TheAdminNavbar.jsx                                   | JavaScript JSX |         88 |          0 |         12 |        100 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-components\TheTopAdminNav.jsx                                   | JavaScript JSX |         33 |          0 |          3 |         36 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheAnalytics.jsx                                          | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheDashboard.jsx                                          | JavaScript JSX |         42 |          0 |          4 |         46 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheEnquiry.jsx                                            | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheLogout.jsx                                             | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheMarketing.jsx                                          | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheOrders.jsx                                             | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\ThePayment.jsx                                            | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheProducts.jsx                                           | JavaScript JSX |         12 |          0 |          3 |         15 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheSetting.jsx                                            | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheUser.jsx                                               | JavaScript JSX |         10 |          0 |          3 |         13 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheAverageRevenue.jsx                | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheCustomerReturn.jsx                | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheRecetInvoice.jsx                  | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheRevenueVsOrder.jsx                | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheSalesByCategory.jsx               | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheTopProducts.jsx                   | JavaScript JSX |         30 |          0 |          3 |         33 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheDeleteConfirm.jsx                   | JavaScript JSX |         46 |          0 |          7 |         53 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheImageMagnifier.jsx                  | JavaScript JSX |         40 |          0 |          5 |         45 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheRecentInvoice.css                   | CSS            |         13 |          0 |          3 |         16 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheRecentInvoice.jsx                   | JavaScript JSX |        218 |          0 |         15 |        233 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheUpdateModal.jsx                     | JavaScript JSX |        104 |          0 |         13 |        117 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheViewModal.jsx                       | JavaScript JSX |         45 |          0 |          4 |         49 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserDeleteModal.jsx                    | JavaScript JSX |         46 |          0 |          7 |         53 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserRecentInvoice.css                  | CSS            |         13 |          0 |          3 |         16 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserRecentInvoice.jsx                  | JavaScript JSX |        194 |          0 |         16 |        210 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserUpdateModal.jsx                    | JavaScript JSX |        104 |          0 |         13 |        117 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserViewModal.jsx                      | JavaScript JSX |         37 |          0 |          4 |         41 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-routes\TheAdminRouter.css                                       | CSS            |         14 |          0 |          4 |         18 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-routes\TheAdminRouter.jsx                                       | JavaScript JSX |         71 |          0 |          6 |         77 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\checkout\TheCartItems.jsx                                        | JavaScript JSX |         73 |          1 |          8 |         82 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\men-page\TheCard.jsx                                             | JavaScript JSX |         50 |          0 |          6 |         56 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\men-page\data.js                                                 | JavaScript     |         31 |          0 |          1 |         32 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\SearchComponent.jsx                             | JavaScript JSX |         43 |          1 |         12 |         56 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\TabbedSection.jsx                               | JavaScript JSX |         59 |          0 |         11 |         70 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\TheCard.jsx                                     | JavaScript JSX |         48 |          1 |          6 |         55 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionCarousel.jsx    | JavaScript JSX |         31 |          5 |          6 |         42 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionKids.jsx        | JavaScript JSX |         30 |          3 |          7 |         40 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionMen.jsx         | JavaScript JSX |         29 |          4 |          7 |         40 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionWomen.jsx       | JavaScript JSX |         30 |          3 |          7 |         40 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\TheHeroCarousel.jsx          | JavaScript JSX |         39 |          7 |          6 |         52 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\TheSecondSectionCarousel.jsx | JavaScript JSX |         88 |          6 |         14 |        108 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TailInfoSection.jsx                           | JavaScript JSX |         88 |          4 |          3 |         95 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TheFooter.jsx                                 | JavaScript JSX |         22 |          0 |          0 |         22 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TheNavbar.jsx                                 | JavaScript JSX |         92 |         14 |         15 |        121 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TheTopNavbarOne.jsx                           | JavaScript JSX |         52 |          0 |          6 |         58 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\ThirdHomepageSection.jsx                      | JavaScript JSX |         33 |          3 |         16 |         52 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\TheNavbarConfig.js                                                     | JavaScript     |         26 |          0 |          1 |         27 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\HeroCarouselImages.js                                  | JavaScript     |         27 |          0 |          2 |         29 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarouselImages.js                         | JavaScript     |         51 |          0 |          3 |         54 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarousel_KidsImages.js                    | JavaScript     |         51 |          0 |          3 |         54 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarousel_MenImages.js                     | JavaScript     |         51 |          0 |          3 |         54 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarousel_WomenImages.js                   | JavaScript     |         51 |          0 |          3 |         54 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\products.js                                                            | JavaScript     |        275 |          0 |          6 |        281 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\index.css                                                                   | CSS            |          7 |          0 |          1 |          8 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\main.jsx                                                                    | JavaScript JSX |         16 |          0 |          2 |         18 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\Khaltitest.jsx                                                        | JavaScript JSX |         42 |          4 |          5 |         51 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheCart.jsx                                                           | JavaScript JSX |         48 |          2 |          3 |         53 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheCustomize.jsx                                                      | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheHome.jsx                                                           | JavaScript JSX |         51 |          1 |         13 |         65 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheKids.jsx                                                           | JavaScript JSX |         84 |          0 |          7 |         91 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheLogin.jsx                                                          | JavaScript JSX |        107 |          0 |          7 |        114 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheMen.jsx                                                            | JavaScript JSX |         85 |          0 |          8 |         93 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheProductDetails.jsx                                                 | JavaScript JSX |         90 |         22 |         13 |        125 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheProfile.jsx                                                        | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheRegistration.jsx                                                   | JavaScript JSX |        195 |          0 |         11 |        206 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheRequestProduct.jsx                                                 | JavaScript JSX |         11 |          0 |          4 |         15 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheSale.jsx                                                           | JavaScript JSX |         74 |          0 |          8 |         82 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\pages\TheWomen.jsx                                                          | JavaScript JSX |         84 |          0 |          7 |         91 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\routes\TheRouter.jsx                                                        | JavaScript JSX |         58 |          0 |          4 |         62 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\api\config.js                                                      | JavaScript     |          6 |          0 |          1 |          7 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\api\index.js                                                       | JavaScript     |         79 |          1 |         20 |        100 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\localStorage.js                                                    | JavaScript     |          6 |          1 |          4 |         11 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\navigation.jsx                                                     | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\services\search_api.js                                                      | JavaScript     |          5 |          3 |          4 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\store\auth.jsx                                                              | JavaScript JSX |         34 |          1 |         10 |         45 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\store\products.js                                                           | JavaScript     |          8 |          0 |          0 |          8 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\utils\date.js                                                               | JavaScript     |          8 |          0 |          4 |         12 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\utils\time.js                                                               | JavaScript     |          6 |          0 |          2 |          8 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\tailwind.config.js                                                              | JavaScript     |         28 |          1 |          2 |         31 |
| c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\vite.config.js                                                                  | JavaScript     |          5 |          1 |          2 |          8 |
| Total                                                                                                                      |                |     25,121 |        120 |        552 |     25,793 |
+----------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
